sentence	sentence_id	locale	reason
Això significa prendre un quocient apropiat del producte tensorial, de la mateixa dimensió.	0b406be60fbeb286524d8eea926eb98c223b7de1b6c0b36f66497ef9c6ac95c9	ca	 No entenc la frase
Més tard seran company a la universitat i col·laboraran junts en l'elaboració de diferents obres.	0b73e430d7ee47f2a320c23c19ea2ae635cd92a1920ba78dc94e43035ffb1e5d	ca	grammar-or-spelling
La navegació entre els ginys s'aconsegueix lliscar esquerra o la dreta.	0c15709c1d583c5bce0df88d42de0c868ad97123c01803786e8e78a751dc6eeb	ca	grammar-or-spelling
Aquestes són la conseqüència de la interacció d'aquesta subunitat amb altres tres.	0be9bbccb19f2a13bd61af43e9c3307b1ce125f4172fb39fd067da47357889ac	ca	grammar-or-spelling
La reforma introduïda tots dos.	0b90b30274a2309bb27d02ba289eba74b242d3853b850538132d0eca72351b17	ca	grammar-or-spelling
La Marca està formada per una calavera del qual surt una serp.	0c58ac6a00f9362e7aa7229513c63029b365356de1f25c718524d1d17a6af7e9	ca	grammar-or-spelling
L'exterior és força auster i l'església es confon amb la resta dependències del santuari.	0c6f1d747d198c84bc6986405fd6dfacb444a46084204becf3dbc4d20d255d71	ca	grammar-or-spelling
A mesura que passa el temps, queden es dipositen més electrons.	0dc0b1aad40c0491aa233b3e76e1ae7819607f19ac22861d9a9db7bfe8838748	ca	Sobra una paraula?
A mesura que passa el temps, queden es dipositen més electrons.	0dc0b1aad40c0491aa233b3e76e1ae7819607f19ac22861d9a9db7bfe8838748	ca	grammar-or-spelling
Aquest poema fou també posteriorment interpretar per la cantant mallorquina Maria del Mar Bonet.	0e31fd64564bbf2e636293471a5f9a78ae5dc0e6d8f45f7632267877c3bc3716	ca	grammar-or-spelling
A mesura que passa el temps, queden es dipositen més electrons.	0dc0b1aad40c0491aa233b3e76e1ae7819607f19ac22861d9a9db7bfe8838748	ca	La frase no té sentit.
La pel·lícula va ser rodada a la filmada a la Columbia britànica i Alberta, Canadà.	107a40774895debf8a1e77752483d59f93def1e0a0fb46fa063fe3857ddd8c02	ca	grammar-or-spelling
En destaca l'escalinata d'accés que mena cap a la porta principal.	1202b8272fa393c407cc6b18b7d252607ce26c2c10872e767f4a7d883094d638	ca	Hem demana que he de donar acces al microfon i no sé com.
Compta amb una seixantena d'espècies És un gènere principalment distribuït dins la regió mediterrània.	13bc1450799fa49f8867d30f3ea918cd86309a9e75d64ec408dad028728e4276	ca	grammar-or-spelling
L'actor sortia d'un període molt difícil per les seves addicions i estades a la presó.	13b2982009946d0ac28b30ba048354fed7cf856f3509878483fc50eefa27cec6	ca	grammar-or-spelling
Proclama l'anglès i al francès llengües oficials de l'Estat federal canadenc.	14397df8280ee10e46655e0a53a23df5810c440c70a7308e37db292611028730	ca	grammar-or-spelling
L'abat retornar les seves còpies i va ordenar que l'informés cada dia.	14b067678eedcf83915ed7a45afb004b3da5787ba5951fef1f70eb14ad6ef569	ca	grammar-or-spelling
Va néixer a la ciutat d'Anshan, província de Liaoning, Xina.	1526d38272c72e79f7cb7a12686937838049944f41fc3490b91442140bdb7e6e	ca	difficult-pronounce
Una Església litigiosa va ser atribuïda per una comissió designada pel rei als catòlics.	151e9fa0861d7c689d4cf566c01670fc1f8c4d214e3f523f9789e055845176f3	ca	difficult-pronounce
Les seves característiques són: narració, reelaboració d'accions, creativitat, subjectivitat, interpretació, emotivitat, estil personal, intencionalitat d'entendre.	15c819ac0cffb35aa6f3ad34a0c8f5d597b68241ccf6dc939fc6a4d76200e583	ca	Hem diu que és massa llarg, i no puc passar a la següent 
I com en moltes pel·lícules d'aquest director, el final de l'heroi és tràgica.	1727dfd23881b498221725a053f0e4673e65fa2a88e00a730618dc846d078ee7	ca	grammar-or-spelling
Ja a la casa va ser examinat immediatament pels magistrats de la ciutat.	1752671780cdb454a61c511a804a3320419be4c0cde1f17db12fdd356ee1d7cd	ca	grammar-or-spelling
A banda i banda del primer tram s'obren sengles capelles.	177de83e70900ae04f5a1a1e1b7883b8f0ee9fdf1316cdf514ac8b8076bcdebe	ca	difficult-pronounce
Va ser el sisè dels set fills que va tenir el matrimoni.	1726cb7ea038125702bf7d65cc86197a2f13bb360b823c5b7d40d91d34a078a4	ca	No hi veig cap errada
Té una alta proporció de gèneres amb una única o unes poques espècies.	171c24849722b7f524118b1ae9914eea320bd6d8968ba760247146fb09cb7fa3	ca	grammar-or-spelling
Aquest sistema era incompatible amb l'utilitzat per Apple.	17657a7880526db14a7b823217032892dbd4a5b714b21ed08cd71b0ccfa4b991	ca	Cap errada
I en occità?	176643a055f771ead51561ca4d5d06dff0378e76664eaa07d8323469051a4e59	ca	Cap errada
En els vessants del turo trobarem formacions herbàcies i arbustives, un exemple és la farigola.	17579ccc4f10679e9190e9d67d37f43e229b5f3f8dbdb6e55b025921d392adcc	ca	grammar-or-spelling
Altres eren fets de materials locals com les estalagmites i el travertí.	17b0817dd89aae0022746662f93290b77aeb282802fc1be6b3bfe6e87c0a0ba3	ca	grammar-or-spelling
En els vessants del turo trobarem formacions herbàcies i arbustives, un exemple és la farigola.	17579ccc4f10679e9190e9d67d37f43e229b5f3f8dbdb6e55b025921d392adcc	ca	grammar-or-spelling
El cor hi ha una filera de cadires de fusta fosca, proveïdes d'alts respatllers.	17554cced8d2a097dbb293340c8a30c29d1ef12fe77e710c4a98db7de23d5944	ca	grammar-or-spelling
Passa per les províncies de Smolensk i de Tver.	16c0bcef00e57a4730b9adc70665ebb5127e674851029fb91f64e74bbd2e4a1c	ca	difficult-pronounce
I com en moltes pel·lícules d'aquest director, el final de l'heroi és tràgica.	1727dfd23881b498221725a053f0e4673e65fa2a88e00a730618dc846d078ee7	ca	grammar-or-spelling
Guillem Crespí Cifre va ser reelegit batle del municipi.	17d19ce7d46bd1bcb74af3aa70378e05ffe2060c71118847eeb5acd50aef0fb1	ca	grammar-or-spelling
Acabada la guerra, es dissol novament el sometent.	17c814afb41c03d2e45f977c0559e3e6ae745c77001a443f66d2c27145874f58	ca	grammar-or-spelling
Pau probablement estava preocupat pel perill que suposava el rei llombard Desideri d'Ístria.	1852941f40222acdb8f8af87609b2f3e0b3a0ccafa98f174a378789b71706516	ca	difficult-pronounce
És per això que Heidegger anomena metafísica nihilista.	1845352728b0154f68879060f4a3c5bac4db1d4ca706f6fd696639a7bafdf8f3	ca	difficult-pronounce
A més era massa al sud per considerar la seva llavors la submissió.	189a36fe3ac050192de4a7154d966dfbcfae1c53066d926d2490d54c74636b57	ca	grammar-or-spelling
La Forca de Policia Somali estava militaritzada i considerada part de l'Exèrcit Nacional de Somàlia.	17e131e55fdab3d58e22f70ea6b055666e9a3811c55451e06be1e5e00c1a014d	ca	grammar-or-spelling
A la capital hi va veure alguns mesos, fruint d'un benefici que hi havia obtingut.	18dbfa2326ec2d0092d0a34de0bb0b30bfac340e8bc822e44b8198486ce49f3d	ca	grammar-or-spelling
En cop retirat va dirigir diferents equips ciclistes.	18de65806975e71c2cd45eab103ade717fc73546bb41e529944b3b0f6a19406a	ca	grammar-or-spelling
A la capital hi va veure alguns mesos, fruint d'un benefici que hi havia obtingut.	18dbfa2326ec2d0092d0a34de0bb0b30bfac340e8bc822e44b8198486ce49f3d	ca	grammar-or-spelling
Els mestres de cerimònia van ser Uri Sàbat i Raquel Sánchez Silva.	190261674fc61efd6fb264e713755228a8ec140d5920952b5ed6899f59071d03	ca	grammar-or-spelling
Fa estudiar fins a quart curs d'Empresarials.	1929e9a47775c901f73093062fe1c2c481a16b5cba47e3f594af3b154479ed5f	ca	grammar-or-spelling
Montsec podria violer dur que el nom indica: una muntanya seca.	18c0f3be1759753ed570029dd6ae39c9b067f11d462fb7aad09f255f2d12bdae	ca	grammar-or-spelling
Aquesta obediència maçònica practica en el Ritu Escocès Rectificat.	198a59539f07ac5734959b290a0c32566fe913ace1d68dcfbf374581ae9535fd	ca	grammar-or-spelling
Montsec podria violer dur que el nom indica: una muntanya seca.	18c0f3be1759753ed570029dd6ae39c9b067f11d462fb7aad09f255f2d12bdae	ca	grammar-or-spelling
Montsec podria violer dur que el nom indica: una muntanya seca.	18c0f3be1759753ed570029dd6ae39c9b067f11d462fb7aad09f255f2d12bdae	ca	grammar-or-spelling
Montsec podria violer dur que el nom indica: una muntanya seca.	18c0f3be1759753ed570029dd6ae39c9b067f11d462fb7aad09f255f2d12bdae	ca	grammar-or-spelling
Es poden veure gaites d'Àfrica, Europa, Galícia, Aragó, Mallorca, Després d'ús Muntis i Astúries.	1ac383e1189ae18b6fbdeb3bd0050be8e66f2389adc397b76036ac59dafcc869	ca	grammar-or-spelling
Montsec podria violer dur que el nom indica: una muntanya seca.	18c0f3be1759753ed570029dd6ae39c9b067f11d462fb7aad09f255f2d12bdae	ca	grammar-or-spelling
Equacions de Maxwell També va predir correctament que llum és una ona electromagnètica.	1b0ee8358ce2cfc0162c9a7a25fd199e84ddad16ee75246feb63f51e9691a1a0	ca	grammar-or-spelling
És venerat com al primer màrtir anglès.	1b7cbc5f2328358192cb1027fb5871822df82d2cc69ef64c0610eaf4be78e939	ca	grammar-or-spelling
També ordenà arrestar polítics rivals i va realitzar purgues dins en el seu propi partit.	1bae26c5c6b73416dedf035d83aff4b4aa9b370233fdc0e30c1121e5aeb802e0	ca	grammar-or-spelling
El parc es troben alguns dels últims elefants africans salvatges de l'Àfrica occidental.	1a28e2d237e6a785c7fd5ee00d0cf4e0381667abdc17c067c3442f0df6e461f1	ca	grammar-or-spelling
Els sòlids dissolts totals normalment s'aplica només a aigües dolces.	1c63a412adaacac87012a73813719622d218f096eeaa94013472b44f405ac043	ca	grammar-or-spelling
Són moments en el que la localitat portuària pateix el tancament de la fàbrica siderúrgica.	1c1e1bdd811a8751680171486dc3c13a88e514eb43897bb2300b8770cc6944db	ca	grammar-or-spelling
Un periodista estranger relata haver vist els combats del constat israelià de la frontera.	1c94a934058a162c8003c56030975d69a9c7bf3e9a2788e7449f2a2cc025ed8d	ca	grammar-or-spelling
Quan s'entreguen coses mobles pot assemblar-se a la penyora.	1c7d357ab7d0504844732af4cef38c189133bc3ccdc257567c78f05b85249bbd	ca	grammar-or-spelling
Al seu saxofon es féu famós per la seva meravellosa sonoritat.	1bb208ebefc7ada7aeb508115d5e5556e179401176cb38c683d426cd7b8b1b56	ca	grammar-or-spelling
Un periodista estranger relata haver vist els combats del constat israelià de la frontera.	1c94a934058a162c8003c56030975d69a9c7bf3e9a2788e7449f2a2cc025ed8d	ca	grammar-or-spelling
La casa consta de tes plantes.	1c9ab249a1599fbc47d8d7d4a0d87cda710034177cbe984310327a87165dcf53	ca	grammar-or-spelling
La seva capçalera departamental és Sonsonate.	1c814670b92d2b21c3b7eaf0c60deaccf978cd139586b673b3a3cd4fe7a63a50	ca	difficult-pronounce
Presenten un pecíol curt i la disposició al voltant de les branques és oposada.	1ca2dcba386a156d7c1c4aba77167811a87f94a10a332ea615dead113aa89b90	ca	difficult-pronounce
Durant el col·lapse de la Unió Soviètica el nacionalisme tàtar experimentat un període de renaixement.	1cf1a9dd3115f0a66387e31373cc9ce4c0f10ccc965ee17ea16f5e748e0d8938	ca	grammar-or-spelling
El signe negatiu indica que el nombre de nucleids pressents disminueix amb cada desintegració.	1d0e15b6f7d01d63fdbaa6e7539398a57256aac1fc393b433403f5748ec8f28d	ca	grammar-or-spelling
Es troba a les Seychelles.	1d0940a2494fdb14f4da298389574328e9c27064be052b0c81e6804c145cc237	ca	different-language
Anomenada així per la ciutat de Windhoek, propera a la localitat tipus.	1cc1996ea0c0fc53c0f4a7ba9bbaac8a96781a6f93fcc161dc9da3b2c6e0e8a2	ca	grammar-or-spelling
Sembla que no vagi escriure cap música instrumental, o que no se n'hagi conservada.	1d479f726bb9edca3aeceedf5fd7a8fc8372507e12434ba3068c6051860fb709	ca	grammar-or-spelling
A l'interior hi ha una volta apuntada i una arcada que fins a la teulada.	1cbeca4ec36b765dfa0ea0b536e3da1dc5582b8cfdcf4b4e83d060e371186020	ca	grammar-or-spelling
La columna arrenca amb base quadrada i es transforma amb octogonal.	1e3d7f9b6d3a8e6cd8da8fe29a75b5ec243e32052e91480ed222c01da69d7194	ca	grammar-or-spelling
És interessant la porta la de fusta amb un petit arc conopial.	1dbd5fa4a01899ffefd91b50ec1f666b1cbb85e9fe7d6ee399fa0807a280d744	ca	grammar-or-spelling
Es troba a Bahrain, Oman i el Mar Roig.	1dcaf434866e8590bde2be7cd296704fcad8dbb357a7f80a95d190954a2ec44f	ca	different-language
L'estruç somali s'alimenta en major part dels arbusts que altres estruços, més herbívors.	1ee833ed417867799014d025faa96789712d0b94542c41b31c01be23c0591851	ca	grammar-or-spelling
No podrien portar-la amb ells els rars per visitar aquest infant?	1f0139d717b2e401fcab08ab26ed5ad7315075747edadfc991bdeba9f4ece1b9	ca	grammar-or-spelling
El seu pare que era mestre de capella, s'encarregà de la seva educació musical.	1f4c90516d8c79173856678680f70b2b7430488cec7e8afca48ab01b8ecddbcb	ca	grammar-or-spelling
A l'extrem oriental està la costa, que dóna a la mar del Nord.	1e932237702bf692e16044a24cfc2911e83fffa8ba30176acc8f870709a2a966	ca	grammar-or-spelling
Les seves costes i aigües pertanyen al territori autònim de Nunavut.	1fd115d0ef5554bf2852ae51d55dedb8972df3d5b72477768119989cb1b67b9b	ca	grammar-or-spelling
Els soviètics començaren a rebre material d'assistència del govern estatunidenc mitjançant el programa del Préstec-Arrendament.	1f43c8702af033f46c643056c2ad3f636f1be28a6a499530edbb069f8a45e27e	ca	grammar-or-spelling
El primer jugador que juga trencament el paquet.	1f7c703e65dad14665e6bd5f594133e6d682b7f965dca9edb484534529db24cb	ca	grammar-or-spelling
Posteriorment, va cursar la carrera Educació Inicial en la Universitat Catòlica.	1ff6bb1f3001a7d2fd9cb95a26b90182cf09259b7c416016c1df007cd6eea693	ca	grammar-or-spelling
Ara es va mecanitzar i ara es triga molt menys de temps.	1ffa1138468e63dbd5c03aa9a0cf67bbfb5a0b613aa849accf5501217c47bb64	ca	grammar-or-spelling
Turkmenistan té un clima desèrtic fred que està continental sever.	2065948e96b90f36638f30d5126613b8e281168ea7e8f496a92efa62d1509600	ca	grammar-or-spelling
Els soviètics començaren a rebre material d'assistència del govern estatunidenc mitjançant el programa del Préstec-Arrendament.	1f43c8702af033f46c643056c2ad3f636f1be28a6a499530edbb069f8a45e27e	ca	grammar-or-spelling
Russell va deixar una gran quantitat d'escrits.	1fdc8ff35d47fc2334906ef13ab542b1c1981314c55918d811eef71c1e3d9465	ca	difficult-pronounce
ঃ i ং són igualment utilitzats com marca d'abreviatura.	209ce94bb0e9cae1891313594febd6f48465930207fb68af41309a09e5a601ba	ca	difficult-pronounce
A l'extrem oriental està la costa, que dóna a la mar del Nord.	1e932237702bf692e16044a24cfc2911e83fffa8ba30176acc8f870709a2a966	ca	grammar-or-spelling
Strauss va acceptar tots dos amb gran rapidesa.	220e61e063870bc11208ab907980df15b5a716af82babfef58e838f546489522	ca	grammar-or-spelling
En les espècies sexuals, la meiosi produeix gàmetes ces haploides.	220b8e89aba624adaf8f596276a8bbe395e4bb6b40b2b623a5b76f538abf4743	ca	difficult-pronounce
Les Illes del Canal és llar d'una gran varietat de recursos naturals i culturals.	219e435870c39123a56d37cbe472e061d17af3eb1d76e4a0ad82d8991325ffac	ca	grammar-or-spelling
En apartament, necessita llum.	2224aed556d80e297b799f8f1a0ca909ad456a1f20d945de2def80318199890b	ca	grammar-or-spelling
Veieren l'home anorreat, desfet, tancat, blasmat, privat de l'aire l'envolta.	220a54de1e91266d990c78971f2370ceefde5736c5ecbd50f88144a2d3744364	ca	grammar-or-spelling
Actualment no en queda cap rastre.	224afe7516f035de933a5da73ca622fd395850ce97f4c3e978008f705fdc79c2	ca	grammar-or-spelling
En apartament, necessita llum.	2224aed556d80e297b799f8f1a0ca909ad456a1f20d945de2def80318199890b	ca	grammar-or-spelling
Dura la nit de cinc dies, de dimarts a dissabte de principis de febrer.	22185fc796255a9106adb197a3aa085e7937cb6bdffda0873c031bc7afc3b941	ca	grammar-or-spelling
Pot dur coll o solapes, butxaques i, en algunes tipologies, caputxa.	2229cea6f2cc9f20fff4ebe64b042d562eb59e1822de5f9227047af0110c49f2	ca	grammar-or-spelling
Va tornar a Roma el i va rebre els honors del triomf.	221287b5c397e74c8aaa34a78dcc259ac4079768462881434e27b450c4264b3b	ca	grammar-or-spelling
Va tornar a Roma el i va rebre els honors del triomf.	221287b5c397e74c8aaa34a78dcc259ac4079768462881434e27b450c4264b3b	ca	grammar-or-spelling
En les espècies sexuals, la meiosi produeix gàmetes ces haploides.	220b8e89aba624adaf8f596276a8bbe395e4bb6b40b2b623a5b76f538abf4743	ca	difficult-pronounce
Aquest són hackers.	22465665b7e2acc75105daac6dc6a9fd05ea307dafdf5c97988935fd5ea40392	ca	grammar-or-spelling
Mentre que l'atac va fracassar, van sorgir molt diferents interpretacions de l'atac.	2293d8e00a87f2e733e821b0203e0e9a64fb5b284f129f8627b1cfb6c47cf96d	ca	grammar-or-spelling
En les espècies sexuals, la meiosi produeix gàmetes ces haploides.	220b8e89aba624adaf8f596276a8bbe395e4bb6b40b2b623a5b76f538abf4743	ca	grammar-or-spelling
Va ser destruïda i despoblada però no se sap quant.	22049d49d92fbebe892e1813a904f8d214541214fc8b1ff8fcdef11a0cbc3fb3	ca	grammar-or-spelling
Són plantes arbòries, arbusts o enfiladisses amb les rels verinoses.	229a99b35a4f218d1ed669acc68dc2e228253e430b663a95d88bc179a90c0d1c	ca	grammar-or-spelling
Mitjançant la hialuronidasa present al cap de l'espermatozoide o acrosoma.	2271555581a22354aed25087f592ffde098e0a7de72b59c548425c3bcc5217aa	ca	difficult-pronounce
Done el seu nom a la ciutat.	2298bbc08435a5209d1e7f0fcf9f66c4613bd3ce3d72a27dd2e53ed8f1dbd185	ca	grammar-or-spelling
El seu funeral va tindre lloc en el tanatori Mondúber amb una cerimònia civil.	2309adc48ff867c9243f4dfe65a7b040db7fb6a60ae4c3c0106f9ddaa12687df	ca	grammar-or-spelling
És membre de l'Orde de l'Imperi Britànic.	230f9ba211fad045993d6b31ddba4ec040742468a387a4eadc866d6a5a8cade1	ca	grammar-or-spelling
Es va graduar de la Universitat de Texas amb un grau d'arquitectura.	23b113b1641032fd26bc302b0c84a2b51b3251dfa8ee59d276edfa60ba255e74	ca	grammar-or-spelling
Amb la seva capacitat quan presidenta, Bakunin va restaurar la biblioteca de l'Acadèmia.	23ec51deae1fd2ee61e4108c750802ef8641296d6c94c03ef0a723455b7c4135	ca	grammar-or-spelling
L'estat actual és mitjà, ja que hi ha unes peces del depòsit que s'han trencat.	23d08ce8738ad1fd8291ca12e0dc590e23733d2ffedde8fa3f0c36331e68d863	ca	grammar-or-spelling
La hi troba en boscos caducifolis i en prades, on fa caus.	2440d6a2d06adfe0cf86377284a4bbbd8573b7e734fbf637284defa0fe860dba	ca	grammar-or-spelling
La hi troba en boscos caducifolis i en prades, on fa caus.	2440d6a2d06adfe0cf86377284a4bbbd8573b7e734fbf637284defa0fe860dba	ca	grammar-or-spelling
La hi troba en boscos caducifolis i en prades, on fa caus.	2440d6a2d06adfe0cf86377284a4bbbd8573b7e734fbf637284defa0fe860dba	ca	grammar-or-spelling
Es comprometé amb aquest equip després de fer-hi la pretemporada.	245c1180332552c7b866937a205140673384f1a3d5e8f21186442546655cca7c	ca	grammar-or-spelling
La hi troba en boscos caducifolis i en prades, on fa caus.	2440d6a2d06adfe0cf86377284a4bbbd8573b7e734fbf637284defa0fe860dba	ca	grammar-or-spelling
Per analogia, el terme entrenador es fa extensiu a la pràctica d'exercicis i ensinistrament d'animals.	249ef42368e691d378bb280153b13e2b97245ba9df5720570069161e2683b49b	ca	El micro
El jaç està format per palets i molt poques zones de sorres gruixudes i gruixudes.	24e32002f476f95ca7b10c89aec25f6c66e9f252dcb1539a69eaf9e6ac8ffe6f	ca	grammar-or-spelling
Tanmateix, projecte no arrenca.	245d62257c37c5a752bf758d90929ea8df40a2424f3d2685da3c89512340b3db	ca	grammar-or-spelling
Els caros no tenien ni coberta ni corredors.	24308cefc03a9427e805a5d3580001d2b2b06c5c84fdc872eca68530c0d916a5	ca	grammar-or-spelling
Poden tenir una aparença d'arbre o ventilador, depenen de l'espècie.	2490522f2edbfcadd62813b1f3446f7bec8a199074b2619abb5174daa9d2f316	ca	grammar-or-spelling
Sis esclaus foren encadenats i va morir de fam i uns altres cinquanta-vuit foren cremats.	246c9db9a143766bfdabf111b9b0bf725dc899aa9ab000f61b8aa84ff50992c4	ca	grammar-or-spelling
No n'hi ha massa referències bibliogràfiques.	24f4d56be0d0b94a2f12db8791595d23e24901f2ced7473445694b633886d656	ca	grammar-or-spelling
Està testimoniada ja a l'antic Egipte l'Imperi Romà l'antiga Xina i als primers estats eslaus.	2574c7d4e8c3612246231c8552338e2a2a801d48c8c10ae2e186ad996b4565b6	ca	grammar-or-spelling
Va ser un estudiant brillat, educat en els principis confucianistes.	24ffa9c3a25b29c74481047dfd0232a8372b05b1d136a59fec1de35f74d6609f	ca	grammar-or-spelling
No es pot menja, ja que és verinós per als humans.	2610d6c7a7c7e52898da2e8b92b1ba911a2c54205aac2fdc06cd59dccb981c13	ca	grammar-or-spelling
Els continents van continuar a moure's vers les seves posicions actuals.	265ef3035770e005038d194a68d6d377662a7733157dafce19f3885f95dab3bf	ca	grammar-or-spelling
Va morir d'una angina de pita casa seva a Manhattan.	2661d148c46e7874cd85b66cd9751e449092ed556b191c68008aef6a897849be	ca	grammar-or-spelling
La caça hi abundava, sobretots els conills i les perdius.	2636ec58baadff3f895958eb77e04e778109a8d68741b3f4681ffd1e543a2202	ca	grammar-or-spelling
És venerat com a sant per diverses confessions cristianes i considerat i patró de Suècia.	2645340da5f8ae2dd6beaaf2aab60066f5601295778aaa1c084d437d35ac0617	ca	grammar-or-spelling
Sifons són de color groc fosc a verd sovint corbats cap a fora.	2614f7da09f887c09b17f28ac601562ea38581adeb7215e8e8583714999416ab	ca	grammar-or-spelling
Això va contribuir a superioritat numèrica dels aliats al Marne.	26510841a35806ec6869dd95ae954f871a700bd52fc407cc66fda86ea3290a17	ca	grammar-or-spelling
La competició entre els bancs, fou feroç, i centrada en l'emissió de bitllets.	269130ba8a5d777ed5d2554ed71b774469652701fad1faa3c039211a09c4cf7b	ca	grammar-or-spelling
Hi milita dues temporades al conjunt grec, on és titular.	264d9397216a437aabc499ea2613912441524f1840a7902dc01d38fbb86bfa5d	ca	grammar-or-spelling
Aquesta presenta al seu interior, decoració pintada de gerros amb flors.	258d64e9b0c61372a78ab267cef2e6119cfed608df0cf8aac5e53f27f0781b93	ca	grammar-or-spelling
A poca distància de la seva ubicació, es localitzava un assentament celtiber.	263f6bb6b77a586a7447d34b318f51caff854f02951c3f3f7cef6f01548d3e21	ca	grammar-or-spelling
Les inscripcions s'han trobat en diverses objectes votius.	268a0b0894089d70cdc9805928ce8667b87a177d9ed074fcbf4347246688f065	ca	grammar-or-spelling
Originàriament es tractava d'una estructura d'un sol cos sense cap annexa.	26b020547d834d29ae0097a9b5c57f3574648142c7767d4308759b0f2dc99e82	ca	grammar-or-spelling
Sifons són de color groc fosc a verd sovint corbats cap a fora.	2614f7da09f887c09b17f28ac601562ea38581adeb7215e8e8583714999416ab	ca	grammar-or-spelling
Això va contribuir a superioritat numèrica dels aliats al Marne.	26510841a35806ec6869dd95ae954f871a700bd52fc407cc66fda86ea3290a17	ca	grammar-or-spelling
Aquest va ser el primer dels dos sobrevols a asteroides que farà la sonda.	264956b22c5da3a3001637d4ec34f73ab3288a993309b05a5bacc9923a8d34fa	ca	grammar-or-spelling
És un mineral poc comú que es troba en skarns rics en bor.	267ebe1be24384bc6c534bae8102cc68838929a1eccb9383e5a6207b436b7831	ca	difficult-pronounce
La utilització de les mateixes solucions ornamental fan pensar en un mateix autor.	263ef98a25f3c7a0f54284e01ea6e98e4dd53dbf2474edb13925c1b308e289cc	ca	grammar-or-spelling
Va participar a títol de col·laboradora en la redacció de l'Enciclopèdia Universal Europeu Americana.	2581255296b0208ef22ee69730eed62ef72ade34464057c82fc340d43386de9d	ca	grammar-or-spelling
Els continents van continuar a moure's vers les seves posicions actuals.	265ef3035770e005038d194a68d6d377662a7733157dafce19f3885f95dab3bf	ca	grammar-or-spelling
Es troba a tot l'hemisferi nord i és l'arrel de moltes races domèstiques.	268d849657545789e7b3d4b76103ea84092642f27651efe496b5fe4a16c522b9	ca	grammar-or-spelling
Desprèn una olor quan se li molesta.	271647db6cc64cec87d8e4ba2a834777a454b49abc34a70f3d00a9b034c30b82	ca	grammar-or-spelling
Però llavors va canviar d'opinió i el va fer executar.	2763439490e04c50df29c458c6b40b7acbe7f1ca37a5ddfea9576ebf377769cb	ca	Diu que el vólum de registre és insuficient, però és el mateix que en frases enregistrades anteriorment. 
Són uns noms que quedaran gravats per sempre més en la història de l’excursionisme mataroní.	26e9817f0e3b91cdad54ba284e73434ee7f49c3e559bcbc549cea5423673d7a4	ca	grammar-or-spelling
Cinc anys després, la ciutat va ser rebatejada amb el nom actual.	26ea7566ffd9ce0c3e1cd6de7b3422191db04b33a16ed64c393339ff01c6571c	ca	grammar-or-spelling
