start	end	text
262860	270060	Además de creer en nosotros mismos, en nuestra capacidad, necesitamos siempre, pero más
270060	278180	aún, en tiempos difíciles, el mayor compromiso de todos con nuestra democracia y con Europa,
278180	284380	con la Unión Europea, que son las dos columnas vertebrales sobre las que se asientan nuestro
284380	288400	presente y nuestro futuro.
288580	294160	Las democracias en el mundo están expuestas a muchos riesgos, que no son nuevos.
294160	300080	Pero cuando hoy en día lo sufren, adquieren una particular intensidad.
300080	302840	Y España no es una excepción.
302840	308500	Pero hay tres sobre los que quiero detenerme porque me parecen muy importantes.
308500	315660	La división es uno de ellos, el deterioro de la convivencia es otro, la erosión de
315860	319440	instituciones es el tercero.
319440	326680	Un país o una sociedad dividida o enfrentada no avanza, no progresa ni resuelve bien sus
326680	330500	problemas, no genera confianza.
330500	338860	La división hace más frágiles a las democracias, la Unión, todo lo contrario, las fortalece.
338980	341960	En España lo sabemos por experiencia propia.
341960	348000	Nuestra Constitución, fruto del diálogo y del entendimiento, representa la Unión
348000	354060	lograda entre los españoles como apuesta de futuro, de diversidad y de concordia para
354060	356880	una joven democracia.
356880	363080	Hoy, con el paso de todos estos años, nuestros valores constitucionales están enraizados
363080	369680	en nuestra sociedad, y son por ello la referencia donde los españoles debemos seguir encontrando
369700	374620	la unión que nos asegura estabilidad, cohesión y progreso,
374620	382620	y que nos garantiza una convivencia que como he destacado a menudo es nuestro mayor patrimonio.
382620	389600	Una convivencia que requiere en nuestra vida colectiva el reconocimiento en plenitud de
389600	396260	nuestras libertades, junto al respeto y la consideración a las personas, a sus convicciones
396340	403780	y a su dignidad, que necesita guiarse por la razón que demanda anteponer la voluntad de
403780	408320	integrar frente al deseo de excluir.
408320	415820	En esa tarea necesitamos fortalecer nuestras instituciones, unas instituciones sólidas
415820	422300	que protejan a los ciudadanos, atiendan a sus preocupaciones, garanticen sus derechos
422300	427660	y apoyen a las familias y a los jóvenes en la superación de muchos de sus problemas
427660	428660	cotidianos.
428660	436140	Instituciones que respondan al interés general y ejerciten sus funciones con colaboración
436140	444140	leal, con respeto a la Constitución y a las leyes y sean un ejemplo de integridad y rectitud.
444140	451940	Y este es un propósito diario con el que las instituciones debemos estar siempre comprometidas.
452880	459140	Creo que en estos momentos todos deberíamos realizar un ejercicio de responsabilidad y
459140	465460	reflexionar de manera constructiva sobre las consecuencias que ignorar esos riesgos puede
465460	472660	tener para nuestra unión, para nuestra convivencia y nuestras instituciones.
472660	476980	No podemos dar por hecho todo lo que hemos construido.
477700	483480	Han pasado ya casi 45 años desde la aprobación de la Constitución y claro que han cambiado
483480	489420	y seguirán cambiando muchas cosas, pero el espíritu que la vio nacer, sus principios
489420	496760	y fundamentos, que son obra de todos, no pueden debilitarse ni deben caer en el olvido.
496760	504980	Son un valor único en nuestra historia constitucional y política que debemos proteger porque son
505060	511500	un lugar donde los españoles nos reconocemos y donde nos aceptamos los unos a los otros
511500	518860	a pesar de nuestras diferencias, el lugar donde hemos convivido y donde convivimos en
518860	521400	libertad.
521400	526900	Europa es el segundo compromiso al que antes me refería. Europa representó y representa
526900	534060	para España también la libertad. Contribuyó a consolidar nuestra democracia, a apotenciar
534100	540820	nuestro crecimiento económico y nuestro desarrollo social. Hoy compartimos muchos de sus problemas
540820	547460	y contribuimos a sus decisiones con nuestra propia personalidad y nuestros intereses.
547460	553400	Los desafíos comunes a los que nos enfrentamos desde los sanitarios a los financieros o los
553400	559540	relacionados con nuestro modelo energético o medioambiental reciben soluciones integradas
559540	565800	en el marco común de la Unión Europea. Por ello lo que se decide cada día en la Unión
565800	574580	afecta y mucho a la vida cotidiana de todos los españoles. Esa es la realidad. Somos Europa
574580	581580	pero también necesitamos Europa, que es nuestro gran marco de referencia político, económico
581700	588700	y social, y que, por ello, nos ofrece certeza y seguridad. Estoy seguro de que el compromiso
588700	595260	de España quedará reforzado con la presidencia rotatoria de la Unión que asumirá el año que
595260	603220	viene. Decía al comienzo que vivimos tiempo, sin duda, de incertidumbre. Pero si el éxito
603220	609420	de una nación depende del carácter de sus ciudadanos y de la personalidad y el espíritu
609420	616140	que mueve a sus sociedad, debemos tener razones para mirar al futuro con esperanza.
616140	623780	Somos una de las grandes naciones del mundo con muchos siglos de historia y los españoles
623780	631260	tenemos que seguir decidiendo, todos juntos, nuestro destino, nuestro futuro, cuidando
631260	639180	nuestra democracia, protegiendo la convivencia, fortaleciendo nuestras instituciones. Debemos
639180	645360	seguir compartiendo objetivos con un permanente espíritu de renovación y adaptación a los
645360	652740	tiempos, con confianza en nuestro país, en una España que conozco bien, valiente y abierta
652740	659740	al mundo, la España que busca la serenidad, la paz, la tranquilidad, la España responsable,
659740	667940	creativa, vital y solidaria. Esa España es la que veo, la que escucho, la que siento en muchos
667940	676980	de vosotros y la que, una vez más, saldrá adelante, en manos de todos nosotros está.
676980	685280	Y finalmente, en esta noche tan especial, os agradezco mucho vuestra atención y, junto a la Reina y nuestras hijas,
685280	692360	la princesa Lennor y la infanta Sofía, os deseo que tengáis una muy feliz Navidad y año nuevo.
692360	696540	E guberrión por Nadal, poas festas.
