start	end	text
377360	383500	que como he destacado a menudo es nuestro mayor patrimonio.
383500	389620	Una convivencia que requiere en nuestra vida colectiva el reconocimiento en plenitud de
389620	396280	nuestras libertades, junto al respeto y la consideración a las personas, a sus convicciones
396280	403700	y a su dignidad, que necesita guiarse por la razón, que demanda anteponer la voluntad
403700	408300	de integrar frente al deseo de excluir.
408300	416100	En esa tarea necesitamos fortalecer nuestras instituciones, unas instituciones sólidas
416100	422300	que protejan a los ciudadanos, atiendan a sus preocupaciones, garanticen sus derechos
422300	427500	y apoyen a las familias y a los jóvenes en la superación de muchos de sus problemas
427500	430500	cotidianos.
430500	436180	Instituciones que respondan al interés general y ejerciten sus funciones con colaboración
436860	443860	con respeto a la Constitución y a las leyes y sean un ejemplo de integridad y rectitud.
443860	452860	Y este es un propósito diario con el que las instituciones debemos estar siempre comprometidas.
452860	459180	Creo que en estos momentos todos deberíamos realizar un ejercicio de responsabilidad
459180	465220	y reflexionar de manera constructiva sobre las consecuencias que ignorar esos riesgos
465260	472700	puede tener para nuestra unión, para nuestra convivencia y nuestras instituciones.
472700	477020	No podemos dar por hecho todo lo que hemos construido.
477020	483460	Han pasado ya casi 45 años desde la aprobación de la Constitución y claro que han cambiado
483460	489420	y seguirán cambiando muchas cosas, pero el espíritu que la vio nacer, sus principios
489620	496620	y fundamentos, que son obra de todos, no pueden debilitarse ni deben caer en el olvido.
496620	503620	Son un valor único en nuestra historia constitucional y política que debemos proteger
503620	508620	porque son el lugar donde los españoles nos reconocemos
508620	513620	y donde nos aceptamos los unos a los otros a pesar de nuestras diferencias.
513820	520820	El lugar donde hemos convivido y donde convivimos en libertad.
520820	524820	Europa es el segundo compromiso al que antes me refería.
524820	529820	Europa representó y representa para España también la libertad.
529820	535820	Contribuyó a consolidar nuestra democracia, a potenciar nuestro crecimiento económico
535820	537820	y nuestro desarrollo social.
538020	543020	Hoy compartimos muchos de sus problemas y contribuimos a sus decisiones
543020	547020	con nuestra propia personalidad y nuestros intereses.
547020	553020	Los desafíos comunes a los que nos enfrentamos desde los sanitarios a los financieros
553020	557020	o los relacionados con nuestro modelo energético o medioambiental
557020	562020	reciben soluciones integradas en el marco común de la Unión Europea.
562220	567220	Por ello, lo que se decide cada día en la Unión afecta y mucho
567220	570220	a la vida cotidiana de todos los españoles.
570220	572220	Esa es la realidad.
572220	576220	Somos Europa, pero también necesitamos Europa,
576220	582220	que es nuestro gran marco de referencia político, económico y social
582220	586220	y que por ello nos ofrece certeza y seguridad.
586420	591420	Estoy seguro de que el compromiso de España quedará reforzado
591420	596420	con la presidencia rotatoria de la Unión que asumirá el año que viene.
596420	602420	Decía al comienzo que vivimos tiempos sin duda de incertidumbre,
602420	606420	pero si el éxito de una nación depende del carácter de sus ciudadanos
606420	611420	y de la personalidad y el espíritu que mueve a su sociedad,
611620	617620	debemos tener razones para mirar al futuro con esperanza.
617620	622620	Somos una de las grandes naciones del mundo con muchos siglos de historia
622620	628620	y los españoles tenemos que seguir decidiendo todos juntos nuestro destino,
628620	634620	nuestro futuro, cuidando nuestra democracia, protegiendo la convivencia,
634620	638620	fortaleciendo nuestras instituciones.
638820	643820	Debemos seguir compartiendo objetivos con un permanente espíritu de renovación
643820	648820	y adaptación a los tiempos, con confianza en nuestro país,
648820	653820	en una España que conozco bien, valiente y abierta al mundo,
653820	658820	la España que busca la serenidad, la paz, la tranquilidad,
658820	662820	la España responsable, creativa, vital y solidaria.
662820	666820	Esa España es la que veo, la que escucho,
667020	671020	la que siento en muchos de vosotros y la que, una vez más,
671020	676020	saldrá adelante, en manos de todos nosotros está.
676020	683020	Y finalmente, en esta noche tan especial, os agradezco mucho vuestra atención
683020	688020	y junto a la reina y nuestras hijas, la princesa Leonor y la infanta Sofía,
688020	693020	os deseo que tengáis una muy feliz Navidad y año nuevo.
693020	697220	¡Eguberrión! ¡Buen Nadal! ¡Buenas Festas!
