start	end	text
268120	271680	necesitamos siempre, pero más aún, en tiempos difíciles,
271760	276360	el mayor compromiso de todos con nuestra democracia
276440	279840	y con Europa, con la Unión Europea,
279920	282600	que son las dos columnas vertebrales
282680	288160	sobre las que se asientan nuestro presente y nuestro futuro.
288240	292440	Las democracias en el mundo están expuestas a muchos riesgos,
292520	296000	que no son nuevos, pero cuando hoy en día lo sufren,
296080	299960	adquieren una particular intensidad.
300040	302560	Y España no es una excepción,
302640	305280	pero hay tres sobre los que quiero detenerme
305280	308280	porque me parecen muy importantes.
308360	310880	La división es uno de ellos,
310960	314400	el deterioro de la convivencia es otro,
314480	319400	la erosión de las instituciones es el tercero.
319480	324760	Un país o una sociedad dividida o enfrentada no avanza,
324840	327240	no progresa ni resuelve bien sus problemas,
327320	330320	no genera confianza.
330400	334120	La división hace más frágiles a las democracias,
334240	338960	la Unión, todo lo contrario, las fortalece.
339040	341920	En España lo sabemos por experiencia propia,
342000	346720	nuestra Constitución, fruto del diálogo y del entendimiento,
346800	349680	representa la Unión lograda entre los españoles
349760	353840	como apuesta de futuro, de diversidad y de concordia
353920	357040	para una joven democracia.
357120	359720	Hoy, con el paso de todos estos años,
359800	361480	nuestros valores constitucionales
361560	364560	están enraizados en nuestra sociedad
364640	367720	y son por ello la referencia donde los españoles
367800	370480	debemos seguir encontrando la Unión
370560	374880	que nos asegura estabilidad, cohesión y progreso,
374960	377400	y que nos garantiza una convivencia que,
377480	383240	como he destacado a menudo, es nuestro mayor patrimonio.
383320	387120	Una convivencia que requiere en nuestra vida colectiva
387240	391680	el reconocimiento en plenitud de nuestras libertades,
391760	395000	junto al respeto y la consideración a las personas,
395080	398400	a sus convicciones y a su dignidad,
398480	401520	que necesita guiarse por la razón,
401600	404760	que demanda anteponer la voluntad de integrar
404840	408120	frente al deseo de excluir.
408200	413720	En esa tarea necesitamos fortalecer nuestras instituciones,
413800	416000	unas instituciones sólidas
416080	420440	que protejan a los ciudadanos, atiendan a sus preocupaciones,
420520	425120	garanticen sus derechos y apoyen a las familias y a los jóvenes
425200	429640	en la superación de muchos de sus problemas cotidianos.
429720	433000	Instituciones que respondan al interés general
433080	436640	y ejerciten sus funciones con colaboración leal,
436720	439920	con respeto a la Constitución y a las leyes,
440000	444400	y sean un ejemplo de integridad y rectitud.
444520	447600	Y este es un propósito diario
447680	452680	con el que las instituciones debemos estar siempre comprometidas.
452760	454880	Creo que en estos momentos
454960	459120	todos deberíamos realizar un ejercicio de responsabilidad
459200	463040	y reflexionar de manera constructiva sobre las consecuencias
463120	467760	que ignorar esos riesgos puede tener para nuestra unión,
467840	472480	para nuestra convivencia y nuestras instituciones.
472520	476800	No podemos dar por hecho todo lo que hemos construido.
476880	481560	Han pasado ya casi 45 años desde la aprobación de la Constitución
481640	486000	y claro que han cambiado y seguirán cambiando muchas cosas,
486080	488400	pero el espíritu que la vio nacer,
488480	492560	sus principios y fundamentos, que son obra de todos,
492640	496680	no pueden debilitarse ni deben caer en el olvido.
496760	502000	Son un valor único en nuestra historia constitucional y política
502080	504320	que debemos proteger,
504400	508880	porque son el lugar donde los españoles nos reconocemos
508960	511440	y donde nos aceptamos los unos a los otros
511520	513840	a pesar de nuestras diferencias.
513920	520960	El lugar donde hemos convivido y donde convivimos en libertad.
521040	524840	Europa es el segundo compromiso al que antes me refería.
524920	530120	Europa representó y representa para España también la libertad.
530160	532680	Contribuyó a consolidar nuestra democracia,
532760	538200	a potenciar nuestro crecimiento económico y nuestro desarrollo social.
538280	540720	Hoy compartimos muchos de sus problemas
540800	542880	y contribuimos a sus decisiones
542960	547240	con nuestra propia personalidad y nuestros intereses.
547320	550240	Los desafíos comunes a los que nos enfrentamos
550320	553040	desde los sanitarios a los financieros
553120	557040	o los relacionados con nuestro modelo energético o medioambiental
557160	562800	reciben soluciones integradas en el marco común de la Unión Europea.
562880	565720	Por ello, lo que se decide cada día en la Unión
565800	570000	afecta y mucho a la vida cotidiana de todos los españoles.
570080	572760	Esa es la realidad.
572840	576840	Somos Europa, pero también necesitamos Europa,
576920	582160	que es nuestro gran marco de referencia político, económico y social
582240	586400	y que, por ello, nos ofrece certeza y seguridad.
586480	591800	Estoy seguro de que el compromiso de España quedará reforzado
591880	594160	con la presidencia rotatoria de la Unión
594240	596760	que asumirá el año que viene.
596840	602320	Decía al comienzo que vivimos tiempos sin duda de incertidumbre,
602400	606880	pero si el éxito de una nación depende del carácter de sus ciudadanos
606960	611480	y de la personalidad y el espíritu que mueve a su sociedad,
611560	617560	debemos tener razones para mirar al futuro con esperanza.
617640	620400	Somos una de las grandes naciones del mundo
620480	625200	con muchos siglos de historia y los españoles tenemos que seguir
625280	630400	decidiendo todos juntos nuestro destino, nuestro futuro,
630480	635200	cuidando nuestra democracia, protegiendo la convivencia,
635280	638680	fortaleciendo nuestras instituciones.
638760	641440	Debemos seguir compartiendo objetivos
641520	646640	con un permanente espíritu de renovación y adaptación a los tiempos,
646720	648920	con confianza en nuestro país,
649000	653880	en una España que conozco bien, valiente y abierta al mundo,
653960	658880	la España que busca la serenidad, la paz, la tranquilidad,
658960	662680	la España responsable, creativa, vital y solidaria.
662760	666800	Esa España es la que veo, la que escucho,
666880	669360	la que siento en muchos de vosotros
669440	672800	y la que, una vez más, saldrá adelante,
672880	676400	en manos de todos nosotros está.
676480	681040	Y finalmente, en esta noche tan especial,
681120	683600	os agradezco mucho vuestra atención.
683680	685800	Y junto a la reina y nuestras hijas,
685880	688480	la princesa Leonor y la infanta Sofía,
688560	693400	os deseo que tengáis una muy feliz Navidad y año nuevo.
693400	697280	Eguberrión, bon Nadal, boas festas.
